Contrast,Gene,logFC,CI.L,CI.R
Lo,Bub1,1.3350920197252423,0.6231452523677523,2.047038787082732
Lo,Cenpi,1.579934101775717,0.7263755964002869,2.433492607151147
Lo,Rpl36-ps12,-1.4070998444671377,-2.1729627049773903,-0.6412369839568848
Lo,Esco2,1.9410165845892053,0.769513040320005,3.1125201288584057
Med,Bub1,0.6887351405785307,-0.057479001106539696,1.434949282263601
Med,Cenpi,0.5655994853642847,-0.3623915450548951,1.4935905157834646
Med,Rpl36-ps12,-0.3312162462379134,-0.9552300921294221,0.29279759965359536
Med,Esco2,0.492635337362027,-0.830683269311704,1.815953944035758
Hi,Cenpi,1.4622204689360085,0.6203301050398637,2.304110832832153
Hi,Rpl36-ps12,-1.1589742738719784,-1.8645004431463041,-0.4534481045976525
Hi,Bub1,0.8947682925312745,0.16651316726757293,1.6230234177949763
Hi,Esco2,0.8746887804587803,-0.3914459657804198,2.1408235266979805
